[2020-01-07 15:06:15:257]   Start Server Succeed 
[2020-01-07 15:06:15:258]   Listen Succeed 
[2020-01-07 15:06:22:454]   Database connection success ! 
[2020-01-07 15:06:22:458]   localIP =  127.0.0.1
[2020-01-07 15:06:22:459]   ReadWorkerParam strQuery =  SELECT  table_station.ToolPara , table_station.DefectDefine, table_station.DefectScreening, table_station.Features,  table_config.NowProName,   				table_config.NowBatchName, table_config.DiskSpaceAlarm, table_config.DiskSpaceDelete ,  table_config.SysOnLine, table_config.SysLang,  				table_config.SaveOKImg, table_config.SaveNGImg, table_config.SaveCompressedOKImg, table_config.SaveCompressedNGImg, table_config.AlgorithmOnOrOff, table_config.SamplingCompressedImg,					table_config.StationDynamic FROM table_station, table_config  WHERE table_config.NowProName = table_station.ProName AND table_station.IP = '127.0.0.1'; 
[2020-01-07 15:06:22:459]   ReadFeaturePara strLang =  ITO◊¯±Í1#ITO◊¯±Í2#ITOœﬂ≥§∂»#∏ˆ ˝#æ‡¿Î
[2020-01-07 15:06:22:522]   Camera start connect...  
[2020-01-07 15:06:35:423]   Send Data #ReadyOK@ 
[2020-01-07 15:06:35:423]   Camera connect sucess 
[2020-01-07 15:07:06:800]    defectInfo =  1698,1026
[2020-01-07 15:07:06:800]    defectInfo =  1563,810
[2020-01-07 15:07:06:800]    defectInfo =  254.999985
[2020-01-07 15:07:06:800]    defectInfoNum =  21
[2020-01-07 15:07:06:800]    defectInfo =  2039,1133
[2020-01-07 15:07:06:800]    defectInfo =  1837,810
[2020-01-07 15:07:06:800]    defectInfo =  381.000031
[2020-01-07 15:07:06:800]    defectInfoNum =  22
[2020-01-07 15:07:06:800]    defectInfo =  1981,1083
[2020-01-07 15:07:06:800]    defectInfo =  1812,812
[2020-01-07 15:07:06:800]    defectInfo =  318.999969
[2020-01-07 15:07:06:800]    defectInfoNum =  23
[2020-01-07 15:07:06:800]    defectInfo =  1660,1009
[2020-01-07 15:07:06:800]    defectInfo =  1568,860
[2020-01-07 15:07:06:800]    defectInfo =  175.002869
[2020-01-07 15:07:06:800]    defectInfoNum =  24
[2020-01-07 15:07:06:800]    defectInfo =  2102,1152
[2020-01-07 15:07:06:800]    defectInfo =  1964,930
[2020-01-07 15:07:06:800]    defectInfo =  262.001953
[2020-01-07 15:07:06:800]    defectInfoNum =  25
[2020-01-07 15:07:06:800]    defectInfo =  2385,1160
[2020-01-07 15:07:06:800]    defectInfo =  2267,970
[2020-01-07 15:07:06:800]    defectInfo =  222.999985
[2020-01-07 15:07:06:800]    defectInfoNum =  26
[2020-01-07 15:07:06:800]    defectInfo =  1885,1365
[2020-01-07 15:07:06:800]    defectInfo =  1672,1027
[2020-01-07 15:07:06:800]    defectInfo =  399.005035
[2020-01-07 15:07:06:800]    defectInfoNum =  27
[2020-01-07 15:07:06:800]    defectInfo =  1887,1324
[2020-01-07 15:07:06:800]    defectInfo =  1723,1065
[2020-01-07 15:07:06:800]    defectInfo =  306.006561
[2020-01-07 15:07:06:800]    defectInfoNum =  28
[2020-01-07 15:07:06:800]    defectInfo =  2392,1104
[2020-01-07 15:07:06:800]    defectInfo =  2368,1066
[2020-01-07 15:07:06:800]    defectInfo =  43.999966
[2020-01-07 15:07:06:800]    defectInfoNum =  29
[2020-01-07 15:07:06:800]    defectInfo =  2337,1129
[2020-01-07 15:07:06:800]    defectInfo =  2297,1069
[2020-01-07 15:07:06:800]    defectInfo =  72.027763
[2020-01-07 15:07:06:800]    defectInfoNum =  30
[2020-01-07 15:07:06:800]    defectInfo =  2232,1124
[2020-01-07 15:07:06:800]    defectInfo =  2200,1069
[2020-01-07 15:07:06:800]    defectInfo =  64.031250
[2020-01-07 15:07:06:801]    defectInfoNum =  31
[2020-01-07 15:07:06:801]    defectInfo =  2259,1130
[2020-01-07 15:07:06:801]    defectInfo =  2220,1069
[2020-01-07 15:07:06:801]    defectInfo =  72.000008
[2020-01-07 15:07:06:801]    defectInfoNum =  32
[2020-01-07 15:07:06:801]    defectInfo =  2306,1127
[2020-01-07 15:07:06:801]    defectInfo =  2266,1069
[2020-01-07 15:07:06:801]    defectInfo =  71.063286
[2020-01-07 15:07:06:801]    defectInfoNum =  33
[2020-01-07 15:07:06:801]    defectInfo =  1921,1318
[2020-01-07 15:07:06:801]    defectInfo =  1784,1097
[2020-01-07 15:07:06:801]    defectInfo =  260.001923
[2020-01-07 15:07:06:801]    defectInfoNum =  34
[2020-01-07 15:07:06:801]    defectInfo =  2351,1150
[2020-01-07 15:07:06:801]    defectInfo =  2342,1137
[2020-01-07 15:07:06:801]    defectInfo =  16.031244
[2020-01-07 15:07:06:801]    defectInfoNum =  35
[2020-01-07 15:07:06:801]    defectInfo =  2251,1154
[2020-01-07 15:07:06:801]    defectInfo =  2239,1137
[2020-01-07 15:07:06:801]    defectInfo =  20.025003
[2020-01-07 15:07:06:801]    defectInfoNum =  36
[2020-01-07 15:07:06:801]    defectInfo =  2210,1160
[2020-01-07 15:07:06:801]    defectInfo =  2196,1138
[2020-01-07 15:07:06:801]    defectInfo =  27.000029
[2020-01-07 15:07:06:801]    defectInfoNum =  37
[2020-01-07 15:07:06:801]    defectInfo =  2215,1217
[2020-01-07 15:07:06:801]    defectInfo =  2166,1139
[2020-01-07 15:07:06:801]    defectInfo =  92.000008
[2020-01-07 15:07:06:801]    defectInfoNum =  38
[2020-01-07 15:07:06:801]    defectInfo =  2352,1201
[2020-01-07 15:07:06:801]    defectInfo =  2314,1139
[2020-01-07 15:07:06:801]    defectInfo =  72.999969
[2020-01-07 15:07:06:801]    defectInfoNum =  39
